"戒律,"アドバイス", "ジャンル"
"寝る前に白湯を飲む","お腹をあたためると消化がよくなるよ","ダイエットする"
"おやつを食べない","ぼくはドーナツ派かな","ダイエットする"
"おやつを食べない","ぼくはドーナツ派かな","病気になりにくい体を作る"
"おやつを食べない","ぼくはドーナツ派かな","依存症をチェックする",,,"お金を節約する"
"おやつを食べない","ぼくはドーナツ派かな","お金を節約する"
"夕食は自炊する","きょうはお家でゆっくりご飯食べよう","ダイエットする"
"夕食は自炊する","きょうはお家でゆっくりご飯食べよう","病気になりにくい体を作る"
"夕食は自炊する","きょうはお家でゆっくりご飯食べよう","お金を節約する"
"コンビニでご飯を買わない","コンビニのご飯はちょっとカロリーが高め","病気になりにくい体を作る"
"コンビニでご飯を買わない","コンビニのご飯はちょっとカロリーが高め","お金を節約する"
"食べ物を作った人のことを考える","ときどき自然のことを考えるのもいいよね","病気になりにくい体を作る"
"夕食時に黒烏龍茶を飲む","普通の烏龍茶もけっこう黒いよね","ダイエットする"
"夕食時に黒烏龍茶を飲む","普通の烏龍茶もけっこう黒いよね","病気になりにくい体を作る"
"家族全員が残さずご飯を食べる","ご飯が食べられることに感謝しないとね","病気になりにくい体を作る"
"家族全員が残さずご飯を食べる","ご飯が食べられることに感謝しないとね","家族の健康を考える"
"家族全員が残さずご飯を食べる","ご飯が食べられることに感謝しないとね","ご飯の幸せを考える"
"料理の塩分を思い切って減らしてみる","涙の味がするってよ","ダイエットする"
"料理の塩分を思い切って減らしてみる","涙の味がするってよ","病気になりにくい体を作る"
"夕食にけんちん汁を作る","けんちん汁は鎌倉建長寺に由来するんだ","ご飯の幸せを考える"
"お豆腐屋でお豆腐を買ってみる","あの豆腐売りの笛の音最近聞かないよね","ご飯の幸せを考える"
"お豆腐屋で揚げ豆腐を買ってみる","揚げ豆腐って大豆でできてるんだぜ","ご飯の幸せを考える"
"ご飯に玄米を混ぜてみる","玄米は栄養豊富だよ","ダイエットする"
"ご飯に玄米を混ぜてみる","玄米は栄養豊富だよ","病気になりにくい体を作る"
"ご飯を30回噛んでから飲み込む","おなか空いたなあ","ダイエットする"
"ご飯を30回噛んでから飲み込む","おなか空いたなあ","病気になりにくい体を作る"
"ご飯を30回噛んでから飲み込む","おなか空いたなあ","ご飯の幸せを考える"
"ご飯と一緒に温かいお茶を飲む","野球だとどこファンですか？","ダイエットする"
"ご飯と一緒に温かいお茶を飲む","野球だとどこファンですか？","病気になりにくい体を作る"
"夕食後にヨガをする","食後に適度なストレッチをすることで、胃の活動が活発になるよ","ダイエットする"
"夕食後にヨガをする","食後に適度なストレッチをすることで、胃の活動が活発になるよ","病気になりにくい体を作る"
"お風呂に入る前に夕食を食べる","夕食はなるべく早めに食べると太りにくいよ","ダイエットする"
"お風呂に入る前に夕食を食べる","ダイエットする"
"間食をしない","ドーナツ食べたいなあ","ダイエットする"
"間食をしない","ドーナツ食べたいなあ","お金を節約する"
"間食をしない","ドーナツ食べたいなあ","病気になりにくい体を作る"
"夕食に有機野菜を使用する","おいしい野菜。おいしい生活。","病気になりにくい体を作る"
"夕食に有機野菜を使用する","おいしい野菜。おいしい生活。","家族の健康を考える"
"夕食に有機野菜を使用する","おいしい野菜。おいしい生活。","お金を節約する"
"添加物の入っている食材を買わない","混じりけのない関係がいいよね","病気になりにくい体を作る"
